hs_code,desc,mfn_rate,country,source_file,hs2
710300,"- Spinach, New Zealand spinach and orache spinach (garden spinach)",0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
801120,- - In the inner shell (endocarp),0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,80
801210,- - In shell,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,80
801310,- - In shell,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,80
802110,- - In shell,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,80
802210,- - In shell,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,80
802310,- - In shell,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,80
802410,- - In shell,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,80
802510,- - In shell,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,80
802610,- - In shell,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,80
802910,"- - Pine nuts, in shell",0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,80
2601,"Iron ores and concentrates, including roasted iron pyrites .",,노르웨이,2024년_노르웨이_관세율표.xlsx,26
260111,- - Non-agglomerated,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
260120,- Roasted iron pyrites,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
260200,"Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 % or more, calculated on the dry weight .",0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
260300,Copper ores and concentrates .,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
260400,Nickel ores and concentrates .,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
260500,Cobalt ores and concentrates .,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
260600,"Aluminum ore (bauxite), also concentrated .",0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
260800,Zinc ores and concentrates .,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
260900,Tin ores and concentrates .,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
2616,Precious metal ores and concentrates .,,노르웨이,2024년_노르웨이_관세율표.xlsx,26
261610,- Silver ores and concentrates,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
261800,Granulated slag (slag sand) from the manufacture or iron or steel .,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
261900,"Slag, dross (other than granulated slag), scalings and other waste from the manufacture of iron or steel .",0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
2620,"Slag, ash and residues (other than from the manufacture of iron or steel), containing arsenic, metals or their compounds .",,노르웨이,2024년_노르웨이_관세율표.xlsx,26
262011,- - Hard zinc spelter,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
262030,- Containing mainly copper,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
262040,- Containing mainly aluminium,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
262060,"- Containing arsenic, mercury, thallium or their mixtures, of a kind used for the extraction of arsenic or those metals or for the manufacture of their chemical compounds",0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,26
7101,"Pearls, natural or cultured, whether or not worked or graded but not strung, mounted or set; pearls, natural or cultured, temporarily strung for convenience of transport .",,노르웨이,2024년_노르웨이_관세율표.xlsx,71
710121,- - Unworked,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
7102,"Diamonds, whether or not worked, but not mounted or set .",,노르웨이,2024년_노르웨이_관세율표.xlsx,71
710210,- Unsorted,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
7103,"Precious stones (except diamonds) and semi-precious stones, whether or not worked or graded, but not strung, and not mounted or mounted; unsorted, precious stones (except diamonds) and semi-precious stones, which for transport reasons are temporarily strung on a string .",,노르웨이,2024년_노르웨이_관세율표.xlsx,71
7104,"Synthetic or reconstructed precious or semi-precious stones, whether or not worked or graded, but not strung, and not mounted or mounted; unsorted, synthetic or reconstructed precious or semi-precious stones, which for transport reasons are temporarily strung on a string .",,노르웨이,2024년_노르웨이_관세율표.xlsx,71
7106,"Silver (including silver plated with gold or platinum), unwrought or in semi-manufactured forms, or in powder form .",,노르웨이,2024년_노르웨이_관세율표.xlsx,71
710691,- - Unwrought,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
710700,"Base metals clad with silver, not further worked than semi-manufactured .",0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form .",,노르웨이,2024년_노르웨이_관세율표.xlsx,71
710812,- - Other unwrought forms,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
710900,"Base metals or silver, clad with gold, not further worked than semi-manufactured .",0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
7110,"Platinum, unwrought or in semi-manufactured forms, or in powder form .",,노르웨이,2024년_노르웨이_관세율표.xlsx,71
711011,- - Unwrought or in powder form,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
711021,- - Unwrought or in powder form,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
711031,- - Unwrought or in powder form,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
711041,- - Unwrought or in powder form,0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
711100,"Base metal, silver or gold, plated with platinum, not further worked than as semi-finished products .",0.0,노르웨이,2024년_노르웨이_관세율표.xlsx,71
